date,state,market,crop_type,original_commodity,price_ngn,price_usd,price_type,latitude,longitude
2002-06-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),269.88,2.31,Wholesale,13.08,7.24
2002-06-15,Sokoto,Illela (CBM),maize,Maize,187.82,1.61,Wholesale,13.64,5.28
2002-06-15,Sokoto,Illela (CBM),millet,Millet,193.11,1.65,Wholesale,13.64,5.28
2002-06-15,Sokoto,Illela (CBM),rice,Rice (imported),343.93,2.94,Wholesale,13.64,5.28
2002-06-15,Sokoto,Illela (CBM),sorghum,Sorghum,191.8,1.64,Wholesale,13.64,5.28
2002-06-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),412.71,3.53,Wholesale,13.64,5.28
2002-07-15,Katsina,Jibia (CBM),maize,Maize,233.48,1.93,Wholesale,13.08,7.24
2002-07-15,Katsina,Jibia (CBM),millet,Millet,233.42,1.93,Wholesale,13.08,7.24
2002-07-15,Katsina,Jibia (CBM),rice,Rice (imported),294.45,2.43,Wholesale,13.08,7.24
2002-07-15,Katsina,Jibia (CBM),sorghum,Sorghum,230.86,1.91,Wholesale,13.08,7.24
2002-07-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),269.11,2.22,Wholesale,13.08,7.24
2002-07-15,Sokoto,Illela (CBM),maize,Maize,229.08,1.89,Wholesale,13.64,5.28
2002-07-15,Sokoto,Illela (CBM),millet,Millet,231.71,1.91,Wholesale,13.64,5.28
2002-07-15,Sokoto,Illela (CBM),rice,Rice (imported),345.1,2.85,Wholesale,13.64,5.28
2002-07-15,Sokoto,Illela (CBM),sorghum,Sorghum,229.14,1.89,Wholesale,13.64,5.28
2002-07-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),406.29,3.36,Wholesale,13.64,5.28
2002-08-15,Katsina,Jibia (CBM),maize,Maize,216.45,1.68,Wholesale,13.08,7.24
2002-08-15,Katsina,Jibia (CBM),millet,Millet,219.81,1.71,Wholesale,13.08,7.24
2002-08-15,Katsina,Jibia (CBM),rice,Rice (imported),276.85,2.15,Wholesale,13.08,7.24
2002-08-15,Katsina,Jibia (CBM),sorghum,Sorghum,219.81,1.71,Wholesale,13.08,7.24
2002-08-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),241.63,1.88,Wholesale,13.08,7.24
2002-08-15,Sokoto,Illela (CBM),maize,Maize,204.99,1.59,Wholesale,13.64,5.28
2002-08-15,Sokoto,Illela (CBM),millet,Millet,207.49,1.61,Wholesale,13.64,5.28
2002-08-15,Sokoto,Illela (CBM),rice,Rice (imported),322.14,2.5,Wholesale,13.64,5.28
2002-08-15,Sokoto,Illela (CBM),sorghum,Sorghum,204.11,1.58,Wholesale,13.64,5.28
2002-08-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),372.76,2.89,Wholesale,13.64,5.28
2002-09-15,Katsina,Jibia (CBM),maize,Maize,135.46,1.05,Wholesale,13.08,7.24
2002-09-15,Katsina,Jibia (CBM),millet,Millet,141.68,1.1,Wholesale,13.08,7.24
2002-09-15,Katsina,Jibia (CBM),rice,Rice (imported),288.51,2.23,Wholesale,13.08,7.24
2002-09-15,Katsina,Jibia (CBM),sorghum,Sorghum,163.37,1.26,Wholesale,13.08,7.24
2002-09-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),171.56,1.33,Wholesale,13.08,7.24
2002-09-15,Sokoto,Illela (CBM),maize,Maize,133.06,1.03,Wholesale,13.64,5.28
2002-09-15,Sokoto,Illela (CBM),millet,Millet,129.37,1.0,Wholesale,13.64,5.28
2002-09-15,Sokoto,Illela (CBM),rice,Rice (imported),266.19,2.06,Wholesale,13.64,5.28
2002-09-15,Sokoto,Illela (CBM),sorghum,Sorghum,130.61,1.01,Wholesale,13.64,5.28
2002-09-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),263.76,2.04,Wholesale,13.64,5.28
2002-10-15,Katsina,Jibia (CBM),maize,Maize,112.5,0.89,Wholesale,13.08,7.24
2002-10-15,Katsina,Jibia (CBM),millet,Millet,120.0,0.94,Wholesale,13.08,7.24
2002-10-15,Katsina,Jibia (CBM),rice,Rice (imported),290.0,2.28,Wholesale,13.08,7.24
2002-10-15,Katsina,Jibia (CBM),sorghum,Sorghum,130.0,1.02,Wholesale,13.08,7.24
2002-10-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),157.5,1.24,Wholesale,13.08,7.24
2002-10-15,Sokoto,Illela (CBM),maize,Maize,102.29,0.81,Wholesale,13.64,5.28
2002-10-15,Sokoto,Illela (CBM),millet,Millet,101.47,0.8,Wholesale,13.64,5.28
2002-10-15,Sokoto,Illela (CBM),rice,Rice (imported),207.85,1.64,Wholesale,13.64,5.28
2002-10-15,Sokoto,Illela (CBM),sorghum,Sorghum,103.11,0.81,Wholesale,13.64,5.28
2002-10-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),181.64,1.43,Wholesale,13.64,5.28
2002-11-15,Katsina,Jibia (CBM),maize,Maize,98.33,0.77,Wholesale,13.08,7.24
2002-11-15,Katsina,Jibia (CBM),millet,Millet,130.0,1.02,Wholesale,13.08,7.24
2002-11-15,Katsina,Jibia (CBM),rice,Rice (imported),324.0,2.54,Wholesale,13.08,7.24
2002-11-15,Katsina,Jibia (CBM),sorghum,Sorghum,100.0,0.78,Wholesale,13.08,7.24
2002-11-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),150.0,1.18,Wholesale,13.08,7.24
2002-11-15,Katsina,Mai Adoua (CBM),maize,Maize,98.75,0.77,Wholesale,13.18,8.23
2002-11-15,Katsina,Mai Adoua (CBM),millet,Millet,120.0,0.94,Wholesale,13.18,8.23
2002-11-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),320.0,2.51,Wholesale,13.18,8.23
2002-11-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,85.0,0.67,Wholesale,13.18,8.23
2002-11-15,Katsina,Mai Adoua (CBM),cowpea,Beans (niebe),130.0,1.02,Wholesale,13.18,8.23
2002-11-15,Sokoto,Illela (CBM),maize,Maize,97.75,0.77,Wholesale,13.64,5.28
2002-11-15,Sokoto,Illela (CBM),millet,Millet,97.38,0.76,Wholesale,13.64,5.28
2002-11-15,Sokoto,Illela (CBM),rice,Rice (imported),210.98,1.65,Wholesale,13.64,5.28
2002-11-15,Sokoto,Illela (CBM),sorghum,Sorghum,100.76,0.79,Wholesale,13.64,5.28
2002-11-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),127.36,1.0,Wholesale,13.64,5.28
2002-12-15,Katsina,Jibia (CBM),maize,Maize,110.01,0.85,Wholesale,13.08,7.24
2002-12-15,Katsina,Jibia (CBM),millet,Millet,125.92,0.97,Wholesale,13.08,7.24
2002-12-15,Katsina,Jibia (CBM),rice,Rice (imported),277.64,2.14,Wholesale,13.08,7.24
2002-12-15,Katsina,Jibia (CBM),sorghum,Sorghum,100.16,0.77,Wholesale,13.08,7.24
2002-12-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),169.65,1.31,Wholesale,13.08,7.24
2002-12-15,Katsina,Mai Adoua (CBM),maize,Maize,114.23,0.88,Wholesale,13.18,8.23
2002-12-15,Katsina,Mai Adoua (CBM),millet,Millet,125.28,0.96,Wholesale,13.18,8.23
2002-12-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),314.52,2.42,Wholesale,13.18,8.23
2002-12-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,93.34,0.72,Wholesale,13.18,8.23
2002-12-15,Katsina,Mai Adoua (CBM),cowpea,Beans (niebe),135.09,1.04,Wholesale,13.18,8.23
2002-12-15,Sokoto,Illela (CBM),maize,Maize,103.49,0.8,Wholesale,13.64,5.28
2002-12-15,Sokoto,Illela (CBM),millet,Millet,100.7,0.78,Wholesale,13.64,5.28
2002-12-15,Sokoto,Illela (CBM),rice,Rice (imported),210.07,1.62,Wholesale,13.64,5.28
2002-12-15,Sokoto,Illela (CBM),sorghum,Sorghum,98.9,0.76,Wholesale,13.64,5.28
2002-12-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),112.36,0.86,Wholesale,13.64,5.28
2003-01-15,Katsina,Jibia (CBM),maize,Maize,109.05,0.87,Wholesale,13.08,7.24
2003-01-15,Katsina,Jibia (CBM),millet,Millet,120.35,0.96,Wholesale,13.08,7.24
2003-01-15,Katsina,Jibia (CBM),rice,Rice (imported),232.63,1.85,Wholesale,13.08,7.24
2003-01-15,Katsina,Jibia (CBM),sorghum,Sorghum,108.24,0.86,Wholesale,13.08,7.24
2003-01-15,Katsina,Jibia (CBM),wheat,Wheat,232.54,1.85,Wholesale,13.08,7.24
2003-01-15,Katsina,Mai Adoua (CBM),maize,Maize,114.01,0.9,Wholesale,13.18,8.23
2003-01-15,Katsina,Mai Adoua (CBM),millet,Millet,136.06,1.08,Wholesale,13.18,8.23
2003-01-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),323.83,2.57,Wholesale,13.18,8.23
2003-01-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,113.95,0.9,Wholesale,13.18,8.23
2003-01-15,Katsina,Mai Adoua (CBM),wheat,Wheat,210.76,1.67,Wholesale,13.18,8.23
2003-01-15,Sokoto,Illela (CBM),maize,Maize,114.27,0.91,Wholesale,13.64,5.28
2003-01-15,Sokoto,Illela (CBM),millet,Millet,121.95,0.97,Wholesale,13.64,5.28
2003-01-15,Sokoto,Illela (CBM),rice,Rice (imported),214.2,1.7,Wholesale,13.64,5.28
2003-01-15,Sokoto,Illela (CBM),sorghum,Sorghum,115.21,0.91,Wholesale,13.64,5.28
2003-01-15,Sokoto,Illela (CBM),wheat,Wheat,236.09,1.87,Wholesale,13.64,5.28
2003-02-15,Borno,Damassack (CBM),maize,Maize,130.5,1.01,Wholesale,13.01,12.56
2003-02-15,Borno,Damassack (CBM),millet,Millet,120.0,0.93,Wholesale,13.01,12.56
2003-02-15,Borno,Damassack (CBM),rice,Rice (imported),412.5,3.21,Wholesale,13.01,12.56
2003-02-15,Borno,Damassack (CBM),sorghum,Sorghum,102.5,0.8,Wholesale,13.01,12.56
2003-02-15,Borno,Damassack (CBM),wheat,Wheat,164.75,1.28,Wholesale,13.01,12.56
2003-02-15,Katsina,Mai Adoua (CBM),maize,Maize,103.86,0.81,Wholesale,13.18,8.23
2003-02-15,Katsina,Mai Adoua (CBM),millet,Millet,129.65,1.01,Wholesale,13.18,8.23
2003-02-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),301.01,2.34,Wholesale,13.18,8.23
2003-02-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,110.56,0.86,Wholesale,13.18,8.23
2003-02-15,Katsina,Mai Adoua (CBM),wheat,Wheat,199.14,1.55,Wholesale,13.18,8.23
2003-02-15,Sokoto,Illela (CBM),maize,Maize,118.21,0.92,Wholesale,13.64,5.28
2003-02-15,Sokoto,Illela (CBM),millet,Millet,122.36,0.95,Wholesale,13.64,5.28
2003-02-15,Sokoto,Illela (CBM),rice,Rice (imported),216.96,1.69,Wholesale,13.64,5.28
2003-02-15,Sokoto,Illela (CBM),sorghum,Sorghum,120.53,0.94,Wholesale,13.64,5.28
2003-02-15,Sokoto,Illela (CBM),wheat,Wheat,244.89,1.9,Wholesale,13.64,5.28
2003-03-15,Katsina,Jibia (CBM),maize,Maize,99.12,0.77,Wholesale,13.08,7.24
2003-03-15,Katsina,Jibia (CBM),millet,Millet,116.89,0.9,Wholesale,13.08,7.24
2003-03-15,Katsina,Jibia (CBM),rice,Rice (imported),220.52,1.7,Wholesale,13.08,7.24
2003-03-15,Katsina,Jibia (CBM),sorghum,Sorghum,92.83,0.72,Wholesale,13.08,7.24
2003-03-15,Katsina,Jibia (CBM),wheat,Wheat,279.08,2.16,Wholesale,13.08,7.24
2003-03-15,Katsina,Mai Adoua (CBM),maize,Maize,97.84,0.76,Wholesale,13.18,8.23
2003-03-15,Katsina,Mai Adoua (CBM),millet,Millet,128.15,0.99,Wholesale,13.18,8.23
2003-03-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),320.26,2.48,Wholesale,13.18,8.23
2003-03-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,102.41,0.79,Wholesale,13.18,8.23
2003-03-15,Katsina,Mai Adoua (CBM),wheat,Wheat,185.09,1.43,Wholesale,13.18,8.23
2003-03-15,Sokoto,Illela (CBM),maize,Maize,110.36,0.85,Wholesale,13.64,5.28
2003-03-15,Sokoto,Illela (CBM),millet,Millet,114.96,0.89,Wholesale,13.64,5.28
2003-03-15,Sokoto,Illela (CBM),rice,Rice (imported),211.47,1.63,Wholesale,13.64,5.28
2003-03-15,Sokoto,Illela (CBM),sorghum,Sorghum,114.96,0.89,Wholesale,13.64,5.28
2003-03-15,Sokoto,Illela (CBM),wheat,Wheat,198.94,1.54,Wholesale,13.64,5.28
2003-04-15,Katsina,Mai Adoua (CBM),maize,Maize,97.4,0.74,Wholesale,13.18,8.23
2003-04-15,Katsina,Mai Adoua (CBM),millet,Millet,128.41,0.98,Wholesale,13.18,8.23
2003-04-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),355.88,2.72,Wholesale,13.18,8.23
2003-04-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,97.43,0.74,Wholesale,13.18,8.23
2003-04-15,Katsina,Mai Adoua (CBM),wheat,Wheat,186.94,1.43,Wholesale,13.18,8.23
2003-04-15,Sokoto,Illela (CBM),maize,Maize,104.74,0.8,Wholesale,13.64,5.28
2003-04-15,Sokoto,Illela (CBM),millet,Millet,112.62,0.86,Wholesale,13.64,5.28
2003-04-15,Sokoto,Illela (CBM),rice,Rice (imported),231.98,1.77,Wholesale,13.64,5.28
2003-04-15,Sokoto,Illela (CBM),sorghum,Sorghum,112.62,0.86,Wholesale,13.64,5.28
2003-04-15,Sokoto,Illela (CBM),wheat,Wheat,192.01,1.47,Wholesale,13.64,5.28
2003-05-15,Borno,Damassack (CBM),maize,Maize,111.2,0.86,Wholesale,13.01,12.56
2003-05-15,Borno,Damassack (CBM),millet,Millet,111.2,0.86,Wholesale,13.01,12.56
2003-05-15,Borno,Damassack (CBM),rice,Rice (imported),296.0,2.28,Wholesale,13.01,12.56
2003-05-15,Borno,Damassack (CBM),sorghum,Sorghum,111.2,0.86,Wholesale,13.01,12.56
2003-05-15,Katsina,Mai Adoua (CBM),maize,Maize,92.26,0.71,Wholesale,13.18,8.23
2003-05-15,Katsina,Mai Adoua (CBM),millet,Millet,129.19,1.0,Wholesale,13.18,8.23
2003-05-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),351.45,2.71,Wholesale,13.18,8.23
2003-05-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,93.37,0.72,Wholesale,13.18,8.23
2003-05-15,Katsina,Mai Adoua (CBM),wheat,Wheat,187.71,1.45,Wholesale,13.18,8.23
2003-05-15,Sokoto,Illela (CBM),maize,Maize,104.46,0.81,Wholesale,13.64,5.28
2003-05-15,Sokoto,Illela (CBM),millet,Millet,108.77,0.84,Wholesale,13.64,5.28
2003-05-15,Sokoto,Illela (CBM),rice,Rice (imported),284.5,2.19,Wholesale,13.64,5.28
2003-05-15,Sokoto,Illela (CBM),sorghum,Sorghum,109.22,0.84,Wholesale,13.64,5.28
2003-05-15,Sokoto,Illela (CBM),wheat,Wheat,181.36,1.4,Wholesale,13.64,5.28
2003-06-15,Katsina,Jibia (CBM),maize,Maize,95.35,0.73,Wholesale,13.08,7.24
2003-06-15,Katsina,Jibia (CBM),millet,Millet,118.65,0.9,Wholesale,13.08,7.24
2003-06-15,Katsina,Jibia (CBM),rice,Rice (imported),240.44,1.83,Wholesale,13.08,7.24
2003-06-15,Katsina,Jibia (CBM),sorghum,Sorghum,85.81,0.65,Wholesale,13.08,7.24
2003-06-15,Katsina,Jibia (CBM),wheat,Wheat,119.36,0.91,Wholesale,13.08,7.24
2003-06-15,Katsina,Mai Adoua (CBM),maize,Maize,84.53,0.64,Wholesale,13.18,8.23
2003-06-15,Katsina,Mai Adoua (CBM),millet,Millet,114.89,0.88,Wholesale,13.18,8.23
2003-06-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),283.16,2.16,Wholesale,13.18,8.23
2003-06-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,75.58,0.58,Wholesale,13.18,8.23
2003-06-15,Katsina,Mai Adoua (CBM),wheat,Wheat,178.52,1.36,Wholesale,13.18,8.23
2003-06-15,Sokoto,Illela (CBM),maize,Maize,99.3,0.76,Wholesale,13.64,5.28
2003-06-15,Sokoto,Illela (CBM),millet,Millet,107.83,0.82,Wholesale,13.64,5.28
2003-06-15,Sokoto,Illela (CBM),rice,Rice (imported),320.21,2.44,Wholesale,13.64,5.28
2003-06-15,Sokoto,Illela (CBM),sorghum,Sorghum,107.83,0.82,Wholesale,13.64,5.28
2003-06-15,Sokoto,Illela (CBM),wheat,Wheat,179.34,1.37,Wholesale,13.64,5.28
2003-07-15,Katsina,Mai Adoua (CBM),maize,Maize,71.41,0.55,Wholesale,13.18,8.23
2003-07-15,Katsina,Mai Adoua (CBM),millet,Millet,99.1,0.77,Wholesale,13.18,8.23
2003-07-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),252.65,1.95,Wholesale,13.18,8.23
2003-07-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,70.35,0.54,Wholesale,13.18,8.23
2003-07-15,Katsina,Mai Adoua (CBM),wheat,Wheat,179.06,1.38,Wholesale,13.18,8.23
2003-07-15,Sokoto,Illela (CBM),maize,Maize,85.94,0.66,Wholesale,13.64,5.28
2003-07-15,Sokoto,Illela (CBM),millet,Millet,91.15,0.7,Wholesale,13.64,5.28
2003-07-15,Sokoto,Illela (CBM),rice,Rice (imported),316.85,2.45,Wholesale,13.64,5.28
2003-07-15,Sokoto,Illela (CBM),sorghum,Sorghum,91.15,0.7,Wholesale,13.64,5.28
2003-07-15,Sokoto,Illela (CBM),wheat,Wheat,172.76,1.33,Wholesale,13.64,5.28
2003-08-15,Borno,Damassack (CBM),maize,Maize,96.48,0.75,Wholesale,13.01,12.56
2003-08-15,Borno,Damassack (CBM),millet,Millet,90.92,0.7,Wholesale,13.01,12.56
2003-08-15,Borno,Damassack (CBM),rice,Rice (imported),300.0,2.33,Wholesale,13.01,12.56
2003-08-15,Borno,Damassack (CBM),sorghum,Sorghum,82.29,0.64,Wholesale,13.01,12.56
2003-08-15,Katsina,Mai Adoua (CBM),maize,Maize,70.15,0.54,Wholesale,13.18,8.23
2003-08-15,Katsina,Mai Adoua (CBM),millet,Millet,86.05,0.67,Wholesale,13.18,8.23
2003-08-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),226.33,1.75,Wholesale,13.18,8.23
2003-08-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,64.84,0.5,Wholesale,13.18,8.23
2003-08-15,Katsina,Mai Adoua (CBM),wheat,Wheat,174.29,1.35,Wholesale,13.18,8.23
2003-08-15,Sokoto,Illela (CBM),maize,Maize,76.72,0.59,Wholesale,13.64,5.28
2003-08-15,Sokoto,Illela (CBM),millet,Millet,83.15,0.64,Wholesale,13.64,5.28
2003-08-15,Sokoto,Illela (CBM),rice,Rice (imported),284.64,2.21,Wholesale,13.64,5.28
2003-08-15,Sokoto,Illela (CBM),sorghum,Sorghum,82.6,0.64,Wholesale,13.64,5.28
2003-08-15,Sokoto,Illela (CBM),wheat,Wheat,149.27,1.16,Wholesale,13.64,5.28
2003-09-15,Katsina,Jibia (CBM),maize,Maize,96.51,0.74,Wholesale,13.08,7.24
2003-09-15,Katsina,Jibia (CBM),millet,Millet,91.71,0.7,Wholesale,13.08,7.24
2003-09-15,Katsina,Jibia (CBM),rice,Rice (imported),276.01,2.11,Wholesale,13.08,7.24
2003-09-15,Katsina,Jibia (CBM),sorghum,Sorghum,74.64,0.57,Wholesale,13.08,7.24
2003-09-15,Katsina,Jibia (CBM),wheat,Wheat,158.87,1.22,Wholesale,13.08,7.24
2003-09-15,Katsina,Mai Adoua (CBM),maize,Maize,88.38,0.68,Wholesale,13.18,8.23
2003-09-15,Katsina,Mai Adoua (CBM),millet,Millet,84.13,0.64,Wholesale,13.18,8.23
2003-09-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),216.19,1.65,Wholesale,13.18,8.23
2003-09-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,73.5,0.56,Wholesale,13.18,8.23
2003-09-15,Katsina,Mai Adoua (CBM),wheat,Wheat,170.4,1.3,Wholesale,13.18,8.23
2003-09-15,Sokoto,Illela (CBM),maize,Maize,67.97,0.52,Wholesale,13.64,5.28
2003-09-15,Sokoto,Illela (CBM),millet,Millet,75.87,0.58,Wholesale,13.64,5.28
2003-09-15,Sokoto,Illela (CBM),rice,Rice (imported),213.95,1.64,Wholesale,13.64,5.28
2003-09-15,Sokoto,Illela (CBM),sorghum,Sorghum,75.87,0.58,Wholesale,13.64,5.28
2003-09-15,Sokoto,Illela (CBM),wheat,Wheat,125.42,0.96,Wholesale,13.64,5.28
2003-10-15,Katsina,Mai Adoua (CBM),maize,Maize,75.67,0.57,Wholesale,13.18,8.23
2003-10-15,Katsina,Mai Adoua (CBM),millet,Millet,78.6,0.59,Wholesale,13.18,8.23
2003-10-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),207.09,1.55,Wholesale,13.18,8.23
2003-10-15,Katsina,Mai Adoua (CBM),sorghum,Sorghum,65.7,0.49,Wholesale,13.18,8.23
2003-10-15,Katsina,Mai Adoua (CBM),wheat,Wheat,165.67,1.24,Wholesale,13.18,8.23
2003-10-15,Sokoto,Illela (CBM),maize,Maize,76.06,0.57,Wholesale,13.64,5.28
2003-10-15,Sokoto,Illela (CBM),millet,Millet,75.64,0.57,Wholesale,13.64,5.28
2003-10-15,Sokoto,Illela (CBM),rice,Rice (imported),193.35,1.45,Wholesale,13.64,5.28
2003-10-15,Sokoto,Illela (CBM),sorghum,Sorghum,75.64,0.57,Wholesale,13.64,5.28
2003-10-15,Sokoto,Illela (CBM),wheat,Wheat,110.96,0.83,Wholesale,13.64,5.28
2003-11-15,Borno,Damassack (CBM),millet,Millet,89.5,0.66,Wholesale,13.01,12.56
2003-11-15,Borno,Damassack (CBM),rice,Rice (imported),289.0,2.14,Wholesale,13.01,12.56
2003-11-15,Borno,Damassack (CBM),sorghum,Sorghum,75.17,0.56,Wholesale,13.01,12.56
2003-11-15,Katsina,Mai Adoua (CBM),maize,Maize,73.51,0.54,Wholesale,13.18,8.23
2003-11-15,Katsina,Mai Adoua (CBM),millet,Millet,86.79,0.64,Wholesale,13.18,8.23
2003-11-15,Katsina,Mai Adoua (CBM),rice,Rice (imported),301.04,2.23,Wholesale,13.18,8.23
