date,crop_type,region,price_ngn_per_kg,month,day_of_year,day_of_week,seasonal_factor
2024-10-18,tomato,lagos,621.18,10,292,4,0.85
2024-10-19,tomato,lagos,609.35,10,293,5,0.85
2024-10-20,tomato,lagos,697.19,10,294,6,0.85
2024-10-21,tomato,lagos,704.04,10,295,0,0.85
2024-10-22,tomato,lagos,731.02,10,296,1,0.85
2024-10-23,tomato,lagos,657.78,10,297,2,0.85
2024-10-24,tomato,lagos,678.13,10,298,3,0.85
2024-10-25,tomato,lagos,635.97,10,299,4,0.85
2024-10-26,tomato,lagos,620.23,10,300,5,0.85
2024-10-27,tomato,lagos,647.51,10,301,6,0.85
2024-10-28,tomato,lagos,792.55,10,302,0,0.85
2024-10-29,tomato,lagos,763.93,10,303,1,0.85
2024-10-30,tomato,lagos,688.16,10,304,2,0.85
2024-10-31,tomato,lagos,611.16,10,305,3,0.85
2024-11-01,tomato,lagos,767.26,11,306,4,0.88
2024-11-02,tomato,lagos,940.26,11,307,5,0.88
2024-11-03,tomato,lagos,751.73,11,308,6,0.88
2024-11-04,tomato,lagos,819.29,11,309,0,0.88
2024-11-05,tomato,lagos,799.3,11,310,1,0.88
2024-11-06,tomato,lagos,672.71,11,311,2,0.88
2024-11-07,tomato,lagos,652.32,11,312,3,0.88
2024-11-08,tomato,lagos,739.26,11,313,4,0.88
2024-11-09,tomato,lagos,710.17,11,314,5,0.88
2024-11-10,tomato,lagos,717.58,11,315,6,0.88
2024-11-11,tomato,lagos,747.24,11,316,0,0.88
2024-11-12,tomato,lagos,689.7,11,317,1,0.88
2024-11-13,tomato,lagos,723.15,11,318,2,0.88
2024-11-14,tomato,lagos,776.03,11,319,3,0.88
2024-11-15,tomato,lagos,668.03,11,320,4,0.88
2024-11-16,tomato,lagos,886.11,11,321,5,0.88
2024-11-17,tomato,lagos,853.97,11,322,6,0.88
2024-11-18,tomato,lagos,745.41,11,323,0,0.88
2024-11-19,tomato,lagos,771.13,11,324,1,0.88
2024-11-20,tomato,lagos,718.59,11,325,2,0.88
2024-11-21,tomato,lagos,645.84,11,326,3,0.88
2024-11-22,tomato,lagos,699.62,11,327,4,0.88
2024-11-23,tomato,lagos,845.09,11,328,5,0.88
2024-11-24,tomato,lagos,765.21,11,329,6,0.88
2024-11-25,tomato,lagos,650.24,11,330,0,0.88
2024-11-26,tomato,lagos,769.36,11,331,1,0.88
2024-11-27,tomato,lagos,845.81,11,332,2,0.88
2024-11-28,tomato,lagos,703.7,11,333,3,0.88
2024-11-29,tomato,lagos,906.02,11,334,4,0.88
2024-11-30,tomato,lagos,789.81,11,335,5,0.88
2024-12-01,tomato,lagos,980.22,12,336,6,1.1
2024-12-02,tomato,lagos,904.25,12,337,0,1.1
2024-12-03,tomato,lagos,946.48,12,338,1,1.1
2024-12-04,tomato,lagos,936.55,12,339,2,1.1
2024-12-05,tomato,lagos,993.43,12,340,3,1.1
2024-12-06,tomato,lagos,979.71,12,341,4,1.1
2024-12-07,tomato,lagos,948.62,12,342,5,1.1
2024-12-08,tomato,lagos,1025.83,12,343,6,1.1
2024-12-09,tomato,lagos,978.11,12,344,0,1.1
2024-12-10,tomato,lagos,955.63,12,345,1,1.1
2024-12-11,tomato,lagos,918.59,12,346,2,1.1
2024-12-12,tomato,lagos,976.99,12,347,3,1.1
2024-12-13,tomato,lagos,1019.4,12,348,4,1.1
2024-12-14,tomato,lagos,899.04,12,349,5,1.1
2024-12-15,tomato,lagos,845.05,12,350,6,1.1
2024-12-16,tomato,lagos,1033.34,12,351,0,1.1
2024-12-17,tomato,lagos,843.9,12,352,1,1.1
2024-12-18,tomato,lagos,848.22,12,353,2,1.1
2024-12-19,tomato,lagos,879.71,12,354,3,1.1
2024-12-20,tomato,lagos,982.11,12,355,4,1.1
2024-12-21,tomato,lagos,928.7,12,356,5,1.1
2024-12-22,tomato,lagos,946.75,12,357,6,1.1
2024-12-23,tomato,lagos,980.61,12,358,0,1.1
2024-12-24,tomato,lagos,1065.25,12,359,1,1.1
2024-12-25,tomato,lagos,983.88,12,360,2,1.1
2024-12-26,tomato,lagos,1023.22,12,361,3,1.1
2024-12-27,tomato,lagos,962.04,12,362,4,1.1
2024-12-28,tomato,lagos,1031.62,12,363,5,1.1
2024-12-29,tomato,lagos,1010.34,12,364,6,1.1
2024-12-30,tomato,lagos,921.15,12,365,0,1.1
2024-12-31,tomato,lagos,1192.49,12,366,1,1.1
2025-01-01,tomato,lagos,1020.6,1,1,2,1.15
2025-01-02,tomato,lagos,980.08,1,2,3,1.15
2025-01-03,tomato,lagos,922.72,1,3,4,1.15
2025-01-04,tomato,lagos,989.57,1,4,5,1.15
2025-01-05,tomato,lagos,876.86,1,5,6,1.15
2025-01-06,tomato,lagos,1012.82,1,6,0,1.15
2025-01-07,tomato,lagos,1135.74,1,7,1,1.15
2025-01-08,tomato,lagos,1024.33,1,8,2,1.15
2025-01-09,tomato,lagos,999.74,1,9,3,1.15
2025-01-10,tomato,lagos,999.54,1,10,4,1.15
2025-01-11,tomato,lagos,953.18,1,11,5,1.15
2025-01-12,tomato,lagos,885.86,1,12,6,1.15
2025-01-13,tomato,lagos,868.32,1,13,0,1.15
2025-01-14,tomato,lagos,1000.77,1,14,1,1.15
2025-01-15,tomato,lagos,969.6,1,15,2,1.15
2025-01-16,tomato,lagos,1031.74,1,16,3,1.15
2025-01-17,tomato,lagos,1101.27,1,17,4,1.15
2025-01-18,tomato,lagos,919.95,1,18,5,1.15
2025-01-19,tomato,lagos,915.12,1,19,6,1.15
2025-01-20,tomato,lagos,1063.09,1,20,0,1.15
2025-01-21,tomato,lagos,951.32,1,21,1,1.15
2025-01-22,tomato,lagos,878.45,1,22,2,1.15
2025-01-23,tomato,lagos,1049.58,1,23,3,1.15
2025-01-24,tomato,lagos,1041.07,1,24,4,1.15
2025-01-25,tomato,lagos,955.52,1,25,5,1.15
2025-01-26,tomato,lagos,885.53,1,26,6,1.15
2025-01-27,tomato,lagos,794.37,1,27,0,1.15
2025-01-28,tomato,lagos,1091.17,1,28,1,1.15
2025-01-29,tomato,lagos,848.39,1,29,2,1.15
2025-01-30,tomato,lagos,1048.48,1,30,3,1.15
2025-01-31,tomato,lagos,987.45,1,31,4,1.15
2025-02-01,tomato,lagos,1068.66,2,32,5,1.2
2025-02-02,tomato,lagos,1005.76,2,33,6,1.2
2025-02-03,tomato,lagos,999.09,2,34,0,1.2
2025-02-04,tomato,lagos,970.92,2,35,1,1.2
2025-02-05,tomato,lagos,1174.13,2,36,2,1.2
2025-02-06,tomato,lagos,973.47,2,37,3,1.2
2025-02-07,tomato,lagos,1027.51,2,38,4,1.2
2025-02-08,tomato,lagos,946.25,2,39,5,1.2
2025-02-09,tomato,lagos,1181.21,2,40,6,1.2
2025-02-10,tomato,lagos,937.19,2,41,0,1.2
2025-02-11,tomato,lagos,984.06,2,42,1,1.2
2025-02-12,tomato,lagos,995.0,2,43,2,1.2
2025-02-13,tomato,lagos,915.16,2,44,3,1.2
2025-02-14,tomato,lagos,1039.64,2,45,4,1.2
2025-02-15,tomato,lagos,1104.87,2,46,5,1.2
2025-02-16,tomato,lagos,947.2,2,47,6,1.2
2025-02-17,tomato,lagos,1067.08,2,48,0,1.2
2025-02-18,tomato,lagos,1080.18,2,49,1,1.2
2025-02-19,tomato,lagos,1050.76,2,50,2,1.2
2025-02-20,tomato,lagos,1149.43,2,51,3,1.2
2025-02-21,tomato,lagos,1021.13,2,52,4,1.2
2025-02-22,tomato,lagos,1081.96,2,53,5,1.2
2025-02-23,tomato,lagos,1214.61,2,54,6,1.2
2025-02-24,tomato,lagos,1188.47,2,55,0,1.2
2025-02-25,tomato,lagos,1104.99,2,56,1,1.2
2025-02-26,tomato,lagos,992.28,2,57,2,1.2
2025-02-27,tomato,lagos,1000.28,2,58,3,1.2
2025-02-28,tomato,lagos,1083.61,2,59,4,1.2
2025-03-01,tomato,lagos,947.91,3,60,5,1.1
2025-03-02,tomato,lagos,698.82,3,61,6,1.1
2025-03-03,tomato,lagos,947.82,3,62,0,1.1
2025-03-04,tomato,lagos,925.3,3,63,1,1.1
2025-03-05,tomato,lagos,1166.24,3,64,2,1.1
2025-03-06,tomato,lagos,1058.87,3,65,3,1.1
2025-03-07,tomato,lagos,1010.81,3,66,4,1.1
2025-03-08,tomato,lagos,974.61,3,67,5,1.1
2025-03-09,tomato,lagos,989.44,3,68,6,1.1
2025-03-10,tomato,lagos,990.65,3,69,0,1.1
2025-03-11,tomato,lagos,936.23,3,70,1,1.1
2025-03-12,tomato,lagos,951.39,3,71,2,1.1
2025-03-13,tomato,lagos,1013.82,3,72,3,1.1
2025-03-14,tomato,lagos,957.43,3,73,4,1.1
2025-03-15,tomato,lagos,1083.44,3,74,5,1.1
2025-03-16,tomato,lagos,854.7,3,75,6,1.1
2025-03-17,tomato,lagos,1067.6,3,76,0,1.1
2025-03-18,tomato,lagos,1011.83,3,77,1,1.1
2025-03-19,tomato,lagos,813.61,3,78,2,1.1
2025-03-20,tomato,lagos,1100.44,3,79,3,1.1
2025-03-21,tomato,lagos,911.69,3,80,4,1.1
2025-03-22,tomato,lagos,1053.29,3,81,5,1.1
2025-03-23,tomato,lagos,957.47,3,82,6,1.1
2025-03-24,tomato,lagos,869.54,3,83,0,1.1
2025-03-25,tomato,lagos,1015.94,3,84,1,1.1
2025-03-26,tomato,lagos,958.49,3,85,2,1.1
2025-03-27,tomato,lagos,971.28,3,86,3,1.1
2025-03-28,tomato,lagos,1039.12,3,87,4,1.1
2025-03-29,tomato,lagos,955.54,3,88,5,1.1
2025-03-30,tomato,lagos,929.43,3,89,6,1.1
2025-03-31,tomato,lagos,957.31,3,90,0,1.1
2025-04-01,tomato,lagos,762.64,4,91,1,0.95
2025-04-02,tomato,lagos,1145.76,4,92,2,0.95
2025-04-03,tomato,lagos,887.78,4,93,3,0.95
2025-04-04,tomato,lagos,897.81,4,94,4,0.95
2025-04-05,tomato,lagos,828.19,4,95,5,0.95
2025-04-06,tomato,lagos,691.14,4,96,6,0.95
2025-04-07,tomato,lagos,958.97,4,97,0,0.95
2025-04-08,tomato,lagos,830.87,4,98,1,0.95
2025-04-09,tomato,lagos,887.19,4,99,2,0.95
2025-04-10,tomato,lagos,869.51,4,100,3,0.95
2025-04-11,tomato,lagos,840.02,4,101,4,0.95
2025-04-12,tomato,lagos,784.11,4,102,5,0.95
2025-04-13,tomato,lagos,797.93,4,103,6,0.95
2025-04-14,tomato,lagos,752.97,4,104,0,0.95
2025-04-15,tomato,lagos,805.99,4,105,1,0.95
2025-04-16,tomato,lagos,776.69,4,106,2,0.95
2025-04-17,tomato,lagos,965.38,4,107,3,0.95
2025-04-18,tomato,lagos,910.9,4,108,4,0.95
2025-04-19,tomato,lagos,856.47,4,109,5,0.95
2025-04-20,tomato,lagos,792.84,4,110,6,0.95
2025-04-21,tomato,lagos,781.14,4,111,0,0.95
2025-04-22,tomato,lagos,839.16,4,112,1,0.95
2025-04-23,tomato,lagos,915.61,4,113,2,0.95
2025-04-24,tomato,lagos,983.02,4,114,3,0.95
2025-04-25,tomato,lagos,757.63,4,115,4,0.95
2025-04-26,tomato,lagos,891.82,4,116,5,0.95
2025-04-27,tomato,lagos,809.26,4,117,6,0.95
2025-04-28,tomato,lagos,820.73,4,118,0,0.95
2025-04-29,tomato,lagos,857.64,4,119,1,0.95
2025-04-30,tomato,lagos,797.82,4,120,2,0.95
2025-05-01,tomato,lagos,794.47,5,121,3,0.9
2025-05-02,tomato,lagos,751.42,5,122,4,0.9
2025-05-03,tomato,lagos,773.14,5,123,5,0.9
2025-05-04,tomato,lagos,859.84,5,124,6,0.9
2025-05-05,tomato,lagos,817.58,5,125,0,0.9
2025-05-06,tomato,lagos,860.21,5,126,1,0.9
2025-05-07,tomato,lagos,768.7,5,127,2,0.9
2025-05-08,tomato,lagos,849.09,5,128,3,0.9
2025-05-09,tomato,lagos,706.55,5,129,4,0.9
2025-05-10,tomato,lagos,815.74,5,130,5,0.9
2025-05-11,tomato,lagos,854.44,5,131,6,0.9
2025-05-12,tomato,lagos,705.11,5,132,0,0.9
2025-05-13,tomato,lagos,771.08,5,133,1,0.9
2025-05-14,tomato,lagos,816.88,5,134,2,0.9
2025-05-15,tomato,lagos,879.63,5,135,3,0.9
2025-05-16,tomato,lagos,776.8,5,136,4,0.9
2025-05-17,tomato,lagos,849.21,5,137,5,0.9
2025-05-18,tomato,lagos,908.97,5,138,6,0.9
2025-05-19,tomato,lagos,852.91,5,139,0,0.9
2025-05-20,tomato,lagos,802.32,5,140,1,0.9
2025-05-21,tomato,lagos,840.09,5,141,2,0.9
2025-05-22,tomato,lagos,776.73,5,142,3,0.9
2025-05-23,tomato,lagos,822.12,5,143,4,0.9
2025-05-24,tomato,lagos,806.58,5,144,5,0.9
2025-05-25,tomato,lagos,839.12,5,145,6,0.9
2025-05-26,tomato,lagos,790.42,5,146,0,0.9
2025-05-27,tomato,lagos,843.45,5,147,1,0.9
2025-05-28,tomato,lagos,790.39,5,148,2,0.9
2025-05-29,tomato,lagos,875.26,5,149,3,0.9
2025-05-30,tomato,lagos,797.18,5,150,4,0.9
2025-05-31,tomato,lagos,685.32,5,151,5,0.9
2025-06-01,tomato,lagos,736.33,6,152,6,0.88
2025-06-02,tomato,lagos,802.39,6,153,0,0.88
2025-06-03,tomato,lagos,908.99,6,154,1,0.88
2025-06-04,tomato,lagos,854.99,6,155,2,0.88
2025-06-05,tomato,lagos,660.2,6,156,3,0.88
2025-06-06,tomato,lagos,707.46,6,157,4,0.88
2025-06-07,tomato,lagos,876.1,6,158,5,0.88
2025-06-08,tomato,lagos,843.59,6,159,6,0.88
2025-06-09,tomato,lagos,949.15,6,160,0,0.88
2025-06-10,tomato,lagos,774.0,6,161,1,0.88
2025-06-11,tomato,lagos,749.16,6,162,2,0.88
2025-06-12,tomato,lagos,808.71,6,163,3,0.88
2025-06-13,tomato,lagos,773.65,6,164,4,0.88
2025-06-14,tomato,lagos,871.47,6,165,5,0.88
2025-06-15,tomato,lagos,772.13,6,166,6,0.88
2025-06-16,tomato,lagos,787.87,6,167,0,0.88
2025-06-17,tomato,lagos,742.47,6,168,1,0.88
2025-06-18,tomato,lagos,854.64,6,169,2,0.88
2025-06-19,tomato,lagos,746.66,6,170,3,0.88
2025-06-20,tomato,lagos,833.09,6,171,4,0.88
2025-06-21,tomato,lagos,927.83,6,172,5,0.88
2025-06-22,tomato,lagos,692.16,6,173,6,0.88
2025-06-23,tomato,lagos,903.9,6,174,0,0.88
2025-06-24,tomato,lagos,825.66,6,175,1,0.88
2025-06-25,tomato,lagos,735.12,6,176,2,0.88
2025-06-26,tomato,lagos,815.23,6,177,3,0.88
2025-06-27,tomato,lagos,855.38,6,178,4,0.88
2025-06-28,tomato,lagos,757.59,6,179,5,0.88
2025-06-29,tomato,lagos,839.54,6,180,6,0.88
2025-06-30,tomato,lagos,912.46,6,181,0,0.88
2025-07-01,tomato,lagos,811.78,7,182,1,0.92
2025-07-02,tomato,lagos,779.67,7,183,2,0.92
2025-07-03,tomato,lagos,838.48,7,184,3,0.92
2025-07-04,tomato,lagos,851.08,7,185,4,0.92
2025-07-05,tomato,lagos,921.81,7,186,5,0.92
2025-07-06,tomato,lagos,837.19,7,187,6,0.92
2025-07-07,tomato,lagos,614.44,7,188,0,0.92
2025-07-08,tomato,lagos,834.26,7,189,1,0.92
2025-07-09,tomato,lagos,784.48,7,190,2,0.92
2025-07-10,tomato,lagos,743.44,7,191,3,0.92
2025-07-11,tomato,lagos,660.2,7,192,4,0.92
2025-07-12,tomato,lagos,881.79,7,193,5,0.92
2025-07-13,tomato,lagos,746.0,7,194,6,0.92
2025-07-14,tomato,lagos,921.0,7,195,0,0.92
2025-07-15,tomato,lagos,803.12,7,196,1,0.92
2025-07-16,tomato,lagos,856.27,7,197,2,0.92
2025-07-17,tomato,lagos,750.13,7,198,3,0.92
2025-07-18,tomato,lagos,926.98,7,199,4,0.92
2025-07-19,tomato,lagos,863.84,7,200,5,0.92
2025-07-20,tomato,lagos,779.87,7,201,6,0.92
2025-07-21,tomato,lagos,776.21,7,202,0,0.92
2025-07-22,tomato,lagos,814.06,7,203,1,0.92
2025-07-23,tomato,lagos,930.09,7,204,2,0.92
2025-07-24,tomato,lagos,927.5,7,205,3,0.92
2025-07-25,tomato,lagos,826.71,7,206,4,0.92
2025-07-26,tomato,lagos,870.0,7,207,5,0.92
2025-07-27,tomato,lagos,978.51,7,208,6,0.92
2025-07-28,tomato,lagos,963.38,7,209,0,0.92
2025-07-29,tomato,lagos,853.64,7,210,1,0.92
2025-07-30,tomato,lagos,862.68,7,211,2,0.92
2025-07-31,tomato,lagos,842.89,7,212,3,0.92
2025-08-01,tomato,lagos,983.71,8,213,4,0.95
2025-08-02,tomato,lagos,892.84,8,214,5,0.95
2025-08-03,tomato,lagos,866.14,8,215,6,0.95
2025-08-04,tomato,lagos,957.11,8,216,0,0.95
2025-08-05,tomato,lagos,886.74,8,217,1,0.95
2025-08-06,tomato,lagos,785.33,8,218,2,0.95
2025-08-07,tomato,lagos,953.76,8,219,3,0.95
2025-08-08,tomato,lagos,898.1,8,220,4,0.95
2025-08-09,tomato,lagos,974.79,8,221,5,0.95
2025-08-10,tomato,lagos,916.3,8,222,6,0.95
2025-08-11,tomato,lagos,867.24,8,223,0,0.95
2025-08-12,tomato,lagos,812.07,8,224,1,0.95
2025-08-13,tomato,lagos,984.21,8,225,2,0.95
2025-08-14,tomato,lagos,942.42,8,226,3,0.95
2025-08-15,tomato,lagos,911.52,8,227,4,0.95
2025-08-16,tomato,lagos,950.2,8,228,5,0.95
2025-08-17,tomato,lagos,782.13,8,229,6,0.95
2025-08-18,tomato,lagos,970.01,8,230,0,0.95
2025-08-19,tomato,lagos,973.63,8,231,1,0.95
2025-08-20,tomato,lagos,841.93,8,232,2,0.95
2025-08-21,tomato,lagos,864.65,8,233,3,0.95
2025-08-22,tomato,lagos,908.58,8,234,4,0.95
2025-08-23,tomato,lagos,795.49,8,235,5,0.95
2025-08-24,tomato,lagos,882.21,8,236,6,0.95
2025-08-25,tomato,lagos,953.19,8,237,0,0.95
2025-08-26,tomato,lagos,966.88,8,238,1,0.95
2025-08-27,tomato,lagos,820.41,8,239,2,0.95
2025-08-28,tomato,lagos,1024.43,8,240,3,0.95
2025-08-29,tomato,lagos,971.18,8,241,4,0.95
2025-08-30,tomato,lagos,974.97,8,242,5,0.95
2025-08-31,tomato,lagos,892.46,8,243,6,0.95
2025-09-01,tomato,lagos,1042.63,9,244,0,1.0
2025-09-02,tomato,lagos,1077.0,9,245,1,1.0
2025-09-03,tomato,lagos,939.47,9,246,2,1.0
2025-09-04,tomato,lagos,873.68,9,247,3,1.0
2025-09-05,tomato,lagos,873.17,9,248,4,1.0
2025-09-06,tomato,lagos,934.58,9,249,5,1.0
2025-09-07,tomato,lagos,1115.6,9,250,6,1.0
2025-09-08,tomato,lagos,1048.56,9,251,0,1.0
2025-09-09,tomato,lagos,905.63,9,252,1,1.0
2025-09-10,tomato,lagos,954.45,9,253,2,1.0
2025-09-11,tomato,lagos,926.87,9,254,3,1.0
2025-09-12,tomato,lagos,1006.26,9,255,4,1.0
2025-09-13,tomato,lagos,934.91,9,256,5,1.0
2025-09-14,tomato,lagos,935.01,9,257,6,1.0
2025-09-15,tomato,lagos,986.95,9,258,0,1.0
2025-09-16,tomato,lagos,812.61,9,259,1,1.0
2025-09-17,tomato,lagos,936.27,9,260,2,1.0
2025-09-18,tomato,lagos,963.83,9,261,3,1.0
2025-09-19,tomato,lagos,963.92,9,262,4,1.0
2025-09-20,tomato,lagos,910.27,9,263,5,1.0
2025-09-21,tomato,lagos,1121.08,9,264,6,1.0
2025-09-22,tomato,lagos,1072.71,9,265,0,1.0
2025-09-23,tomato,lagos,894.23,9,266,1,1.0
2025-09-24,tomato,lagos,1022.7,9,267,2,1.0
2025-09-25,tomato,lagos,903.18,9,268,3,1.0
2025-09-26,tomato,lagos,965.11,9,269,4,1.0
2025-09-27,tomato,lagos,1096.65,9,270,5,1.0
2025-09-28,tomato,lagos,1001.78,9,271,6,1.0
2025-09-29,tomato,lagos,1047.29,9,272,0,1.0
2025-09-30,tomato,lagos,952.94,9,273,1,1.0
2025-10-01,tomato,lagos,808.44,10,274,2,0.85
2025-10-02,tomato,lagos,789.68,10,275,3,0.85
2025-10-03,tomato,lagos,816.16,10,276,4,0.85
2025-10-04,tomato,lagos,727.63,10,277,5,0.85
2025-10-05,tomato,lagos,977.45,10,278,6,0.85
2025-10-06,tomato,lagos,756.08,10,279,0,0.85
2025-10-07,tomato,lagos,849.25,10,280,1,0.85
2025-10-08,tomato,lagos,852.21,10,281,2,0.85
2025-10-09,tomato,lagos,861.24,10,282,3,0.85
2025-10-10,tomato,lagos,952.25,10,283,4,0.85
2025-10-11,tomato,lagos,832.55,10,284,5,0.85
2025-10-12,tomato,lagos,755.28,10,285,6,0.85
2025-10-13,tomato,lagos,988.97,10,286,0,0.85
2025-10-14,tomato,lagos,676.33,10,287,1,0.85
2025-10-15,tomato,lagos,728.24,10,288,2,0.85
2025-10-16,tomato,lagos,944.56,10,289,3,0.85
2025-10-17,tomato,lagos,843.7,10,290,4,0.85
2025-10-18,tomato,lagos,878.12,10,291,5,0.85
2025-10-19,tomato,lagos,799.98,10,292,6,0.85
2025-10-20,tomato,lagos,784.55,10,293,0,0.85
