crop_type,farm_size_hectares,region,soil_type,rainfall_mm,temperature_celsius,fertilizer_used,yield_kg
pepper,0.99,Kaduna,sandy,1407.5,33.4,1,6238.2
yam,9.71,Kano,sandy,1157.1,25.5,1,85367.5
tomato,9.65,Benue,clay,1536.0,24.7,0,128947.4
maize,4.7,Bauchi,sandy,1273.5,28.7,1,10618.3
yam,4.49,Kaduna,sandy,1969.4,30.8,0,21419.6
pepper,1.37,Benue,loamy,1479.6,28.8,0,12866.9
tomato,6.35,Rivers,silty,1000.6,26.6,1,105586.4
tomato,5.26,Bauchi,loamy,1589.1,31.6,1,89375.3
rice,4.19,Kaduna,loamy,1412.6,33.4,1,11801.6
cassava,8.29,Bauchi,sandy,932.4,24.4,0,63370.9
tomato,6.99,Lagos,sandy,1155.4,29.7,0,72935.9
tomato,2.98,Benue,silty,782.8,31.0,1,39711.0
yam,3.18,Kano,loamy,997.6,29.2,1,39768.5
rice,4.03,Benue,silty,1418.8,26.4,1,19464.9
maize,2.76,Plateau,loamy,1024.2,26.0,1,11480.6
yam,9.01,Lagos,silty,1091.6,25.2,1,103785.6
cowpea,1.29,Rivers,clay,1438.1,30.4,0,1426.8
yam,8.02,Lagos,clay,1195.1,24.3,0,52576.9
cowpea,5.69,Oyo,sandy,1908.2,27.3,1,5324.3
pepper,7.16,Kano,loamy,1423.6,29.6,0,46969.6
rice,2.75,Benue,loamy,637.0,21.8,1,9155.7
cassava,7.88,Plateau,clay,1543.1,26.5,0,75364.6
rice,5.93,Kaduna,silty,1198.2,28.9,1,25970.3
cassava,6.04,Plateau,loamy,621.8,24.5,1,71781.5
yam,2.9,Oyo,silty,1205.0,24.9,1,30926.5
pepper,6.05,Bauchi,clay,2075.9,24.6,0,27395.2
tomato,2.68,Kaduna,silty,658.0,23.0,1,31216.8
cowpea,5.59,Lagos,loamy,1428.5,29.9,0,5496.4
pepper,8.73,Rivers,loamy,1932.6,26.8,1,70356.0
cowpea,1.93,Rivers,sandy,1336.4,26.7,1,2320.3
cassava,1.77,Rivers,silty,1695.1,27.7,1,21193.8
yam,9.97,Rivers,clay,1020.0,28.9,1,85737.0
maize,7.69,Kano,silty,1414.2,18.0,1,14683.6
tomato,8.6,Plateau,silty,1610.6,27.5,1,151156.9
tomato,8.15,Benue,sandy,1747.5,27.6,1,102048.8
tomato,4.23,Oyo,clay,1092.2,29.2,1,61245.6
cowpea,5.47,Lagos,loamy,1733.8,26.4,1,8481.5
maize,2.95,Bauchi,loamy,1197.5,28.2,0,6873.5
cassava,5.6,Benue,clay,1467.9,21.7,1,66011.2
rice,2.23,Bauchi,loamy,1174.9,29.9,1,9190.5
cassava,8.31,Kano,silty,1009.7,26.3,1,114106.9
yam,4.88,Kano,sandy,1223.0,20.2,1,34726.4
pepper,1.99,Bauchi,loamy,1285.6,27.5,1,20394.1
cowpea,4.02,Plateau,sandy,593.9,31.1,1,3429.5
cowpea,8.52,Oyo,clay,804.8,23.5,0,5726.5
cowpea,4.08,Kano,clay,775.5,25.0,0,4051.9
cassava,6.66,Kano,clay,1552.7,31.7,1,71495.6
maize,5.86,Kano,loamy,1484.6,26.1,1,18375.5
pepper,6.25,Lagos,loamy,544.8,25.0,0,36128.0
pepper,8.16,Bauchi,clay,1519.0,27.4,0,54409.7
pepper,6.85,Lagos,sandy,1380.6,33.1,0,38780.3
rice,2.45,Kano,sandy,836.1,28.9,1,8322.2
pepper,3.24,Rivers,sandy,1306.4,26.8,1,23469.5
maize,4.01,Bauchi,sandy,1998.8,33.0,0,4272.1
cowpea,6.97,Lagos,loamy,1304.4,24.8,1,13337.3
pepper,1.51,Rivers,sandy,976.1,31.5,1,9997.7
pepper,0.96,Rivers,silty,1124.3,28.6,1,9584.5
cassava,2.06,Rivers,clay,1315.9,33.2,1,20912.3
cowpea,7.28,Bauchi,clay,1579.0,29.1,1,10074.5
maize,2.71,Lagos,clay,1531.8,20.4,1,4789.0
pepper,3.66,Oyo,silty,1314.8,24.4,1,35260.1
maize,5.57,Benue,clay,1005.0,28.2,0,12302.8
pepper,2.44,Kano,sandy,857.6,31.9,0,11202.5
yam,1.55,Kaduna,loamy,1092.1,24.1,1,17663.9
rice,7.83,Oyo,clay,978.9,31.0,1,29244.9
cassava,3.78,Oyo,sandy,1268.2,29.5,1,45877.4
rice,9.16,Bauchi,sandy,1177.8,26.2,1,30612.9
cassava,9.36,Kaduna,silty,1392.4,27.7,1,138511.9
tomato,1.15,Oyo,loamy,744.1,25.1,0,13896.3
cowpea,9.25,Benue,sandy,2215.5,28.6,1,6668.6
rice,7.98,Kano,loamy,1029.2,26.4,1,32339.8
pepper,3.79,Kano,clay,1065.7,32.0,0,18942.3
maize,5.23,Plateau,loamy,1140.4,26.3,1,18684.3
pepper,2.59,Kano,loamy,1378.2,27.0,1,31386.7
cowpea,9.97,Lagos,clay,1270.4,25.0,1,13157.5
cassava,8.1,Plateau,silty,2102.6,25.3,1,80725.1
maize,7.87,Benue,sandy,1666.6,19.0,1,13139.4
pepper,7.77,Kaduna,loamy,972.9,26.3,1,81194.1
tomato,4.38,Benue,clay,1082.3,28.5,1,63131.7
maize,5.74,Oyo,silty,1210.2,22.8,1,16673.8
cassava,6.7,Benue,silty,447.7,26.3,1,67042.7
pepper,8.39,Kaduna,silty,767.6,28.8,0,43968.4
tomato,9.15,Rivers,silty,1905.9,30.0,1,110999.8
cowpea,3.05,Rivers,loamy,1698.7,20.5,1,3262.0
pepper,7.91,Lagos,sandy,1161.3,27.9,1,62755.9
maize,5.11,Lagos,sandy,1547.9,30.2,1,11069.3
pepper,9.85,Kano,loamy,719.9,25.4,0,61633.2
tomato,5.53,Kano,silty,896.1,27.0,1,110385.1
yam,0.6,Rivers,clay,1191.7,31.9,1,6473.6
cowpea,5.95,Lagos,sandy,1761.6,25.5,1,5882.5
maize,1.29,Kaduna,clay,1152.6,25.2,0,2348.0
rice,7.33,Benue,silty,820.2,34.9,1,19254.0
maize,3.06,Benue,silty,1271.6,27.9,1,9326.3
cassava,6.17,Kano,loamy,1059.1,27.7,0,76174.8
cassava,6.18,Lagos,clay,1908.3,30.0,1,53696.8
maize,9.53,Benue,loamy,1271.1,23.0,1,30855.6
cowpea,7.38,Bauchi,sandy,1447.5,31.1,0,6392.1
tomato,0.87,Kano,silty,1527.4,27.4,0,10691.3
tomato,4.51,Rivers,sandy,1621.3,31.1,1,37286.9
pepper,6.16,Oyo,silty,783.0,30.8,1,43769.4
maize,5.61,Plateau,loamy,1024.1,27.4,1,21138.0
rice,2.71,Benue,clay,1232.9,30.2,1,10947.7
yam,0.86,Kaduna,loamy,926.6,22.2,1,9190.6
pepper,4.47,Benue,silty,850.9,29.4,0,24689.7
rice,7.3,Rivers,loamy,832.5,28.4,0,22528.0
cowpea,4.15,Bauchi,silty,1593.7,26.4,1,6773.2
maize,7.56,Kaduna,clay,934.4,30.4,0,13105.3
cassava,5.37,Kano,clay,993.0,25.2,0,47721.4
yam,6.48,Benue,loamy,1675.6,34.5,1,56645.4
cassava,4.26,Kano,sandy,867.1,28.4,1,40358.3
cowpea,0.83,Kaduna,sandy,918.6,26.6,1,1005.0
cassava,1.73,Lagos,clay,1417.4,30.3,1,19612.3
cowpea,0.55,Oyo,loamy,880.7,27.1,1,754.5
yam,9.0,Rivers,loamy,1563.0,27.1,1,118864.3
yam,3.04,Plateau,silty,2006.8,28.8,1,28680.8
cassava,2.02,Rivers,clay,1327.1,25.1,0,22766.7
tomato,1.72,Oyo,loamy,1162.1,24.9,1,34400.0
pepper,7.69,Kaduna,clay,1461.0,21.3,0,40397.0
cassava,7.73,Kano,loamy,1275.9,26.7,1,134015.4
pepper,7.66,Plateau,silty,1407.5,25.1,1,73050.4
maize,6.03,Lagos,sandy,958.5,25.6,1,13527.9
cowpea,9.7,Kaduna,clay,1346.8,25.4,0,11507.1
tomato,0.51,Kano,sandy,1173.7,29.0,0,5771.9
maize,2.05,Benue,loamy,791.5,29.1,0,4903.1
cassava,8.75,Plateau,silty,1724.2,21.5,0,65734.7
pepper,2.68,Rivers,clay,1229.7,26.3,1,24344.5
rice,2.26,Lagos,loamy,1646.9,29.1,1,9395.0
rice,0.67,Rivers,silty,1405.5,26.2,1,2748.9
pepper,1.61,Lagos,sandy,663.5,25.0,0,9097.6
maize,2.03,Plateau,sandy,1556.3,21.8,1,4482.9
tomato,5.06,Benue,sandy,1046.0,30.1,1,57784.0
pepper,9.12,Oyo,sandy,951.8,28.3,0,50104.3
pepper,6.37,Kaduna,loamy,1219.0,26.3,0,56408.0
tomato,5.58,Lagos,loamy,645.9,23.7,1,84207.0
cowpea,2.4,Benue,silty,808.5,27.8,1,2772.3
pepper,6.15,Lagos,clay,586.5,29.6,1,39017.8
rice,3.72,Oyo,clay,1408.8,31.0,1,12402.8
cassava,0.89,Kaduna,sandy,1874.3,25.6,1,7797.3
cassava,2.58,Benue,sandy,2065.5,23.9,1,18388.5
cowpea,0.91,Kaduna,sandy,1402.4,21.0,1,813.5
yam,1.19,Benue,clay,896.2,26.2,1,9783.7
cowpea,4.45,Bauchi,silty,1753.8,29.3,1,6659.2
cassava,6.0,Kaduna,sandy,1339.0,26.7,1,85872.0
tomato,8.03,Benue,sandy,689.1,22.4,1,77034.9
tomato,7.3,Bauchi,sandy,1449.0,25.3,1,93098.3
cowpea,4.42,Plateau,loamy,842.5,26.6,1,7248.1
rice,6.13,Plateau,loamy,1921.8,28.1,0,17099.4
yam,0.59,Lagos,silty,552.6,31.6,0,3802.8
pepper,2.11,Kano,loamy,1080.2,30.0,1,18920.2
rice,6.08,Kaduna,loamy,903.2,23.1,1,18597.0
rice,5.01,Lagos,silty,1682.3,28.1,1,20560.8
rice,5.63,Kaduna,sandy,705.1,28.9,0,14179.7
rice,9.87,Bauchi,clay,1508.8,29.7,1,33940.4
cowpea,5.46,Benue,silty,773.8,27.3,0,5099.2
yam,1.39,Bauchi,loamy,1402.2,30.2,0,12875.7
tomato,6.79,Benue,sandy,1158.9,26.9,0,84611.0
maize,0.79,Bauchi,loamy,1266.7,30.3,0,2190.7
pepper,4.24,Rivers,loamy,1321.1,24.7,1,47338.5
maize,1.36,Benue,loamy,1099.0,27.9,1,4079.3
rice,6.84,Plateau,sandy,1488.6,28.9,1,20940.9
pepper,6.67,Rivers,clay,1250.2,31.0,1,61665.4
cassava,4.19,Lagos,loamy,944.4,23.0,0,43356.7
pepper,6.6,Kano,sandy,920.0,36.4,1,30485.9
tomato,5.05,Rivers,loamy,737.3,22.4,1,77855.1
cowpea,4.25,Benue,sandy,2175.9,29.6,1,3356.4
yam,2.36,Benue,silty,1503.6,27.8,0,21146.7
tomato,2.08,Kaduna,silty,1421.2,33.1,1,29640.2
rice,5.62,Bauchi,sandy,1805.8,29.3,0,10646.3
cassava,1.67,Kaduna,sandy,1110.1,25.4,0,15824.6
maize,5.89,Kano,silty,1192.1,28.7,1,16576.5
tomato,1.57,Rivers,clay,1225.5,27.7,1,32973.6
tomato,2.51,Kano,silty,1659.8,26.1,1,34874.0
yam,3.37,Bauchi,clay,922.8,28.3,1,35914.5
cassava,6.43,Lagos,clay,725.0,27.9,1,67308.9
maize,2.2,Rivers,clay,1381.4,24.9,1,5303.7
maize,4.21,Rivers,loamy,1325.8,27.0,0,10793.5
pepper,4.74,Lagos,loamy,1855.6,28.2,0,35246.1
cowpea,7.84,Kaduna,silty,1652.3,32.1,1,7062.0
cowpea,1.16,Lagos,silty,711.1,27.7,1,1176.3
tomato,6.96,Kaduna,loamy,657.1,26.4,0,75983.9
cassava,7.44,Plateau,silty,668.1,27.3,1,82778.2
yam,6.53,Benue,loamy,1069.3,23.4,1,57133.6
cowpea,4.29,Bauchi,sandy,1000.3,30.6,1,4274.2
pepper,2.94,Bauchi,clay,1319.2,30.0,1,23203.1
yam,3.92,Rivers,sandy,1036.9,27.3,0,32246.4
rice,3.16,Kano,silty,1346.1,31.2,1,11643.6
maize,1.61,Kano,loamy,212.6,29.8,1,2918.6
pepper,1.84,Benue,silty,981.5,29.9,0,11666.3
pepper,9.77,Bauchi,sandy,982.5,26.3,1,73506.9
rice,6.26,Lagos,sandy,1314.8,26.7,1,20612.6
yam,0.75,Lagos,clay,1340.6,27.2,1,8965.8
rice,3.46,Plateau,silty,824.3,26.6,1,13677.8
rice,3.97,Benue,clay,687.0,23.0,0,8830.3
pepper,9.95,Rivers,clay,974.5,25.8,0,60127.6
rice,6.37,Kaduna,clay,1079.0,24.8,0,16657.6
yam,6.43,Kaduna,sandy,782.4,26.4,1,46797.9
cowpea,5.49,Plateau,sandy,1110.1,25.8,1,5559.7
cowpea,4.45,Oyo,loamy,981.5,28.2,1,5874.5
rice,6.64,Rivers,silty,1187.6,24.9,0,20795.7
tomato,3.58,Kaduna,sandy,278.9,25.7,1,37945.3
yam,1.76,Bauchi,loamy,1116.3,28.4,1,22982.7
yam,3.15,Kano,sandy,1523.6,24.9,1,20663.1
pepper,6.55,Benue,loamy,1161.1,27.1,0,53523.6
rice,5.37,Rivers,silty,1053.9,27.6,0,16325.8
pepper,9.92,Kaduna,clay,1719.5,23.8,1,54873.0
pepper,7.76,Bauchi,sandy,1442.9,30.9,1,49717.0
pepper,2.98,Lagos,loamy,1099.7,26.9,1,33923.3
tomato,8.09,Kaduna,clay,1222.8,27.8,1,148264.3
rice,1.99,Kano,clay,1437.4,27.7,0,5409.0
cassava,5.73,Kano,loamy,995.4,24.7,1,80239.1
maize,6.64,Oyo,sandy,2017.2,27.9,1,12098.2
maize,5.67,Rivers,loamy,1349.0,31.8,0,12463.9
pepper,9.85,Plateau,silty,1054.2,28.2,1,84838.2
cowpea,5.14,Benue,silty,810.5,21.7,1,5604.8
pepper,5.87,Rivers,sandy,1774.1,28.0,1,41265.7
cowpea,2.03,Kano,silty,1438.7,29.3,1,2454.4
tomato,6.75,Lagos,sandy,951.7,29.3,1,91048.6
tomato,3.88,Rivers,loamy,1146.4,27.0,1,68568.3
cassava,8.5,Plateau,silty,757.5,23.8,1,93796.3
rice,7.36,Bauchi,sandy,520.5,31.4,1,13535.2
maize,4.18,Lagos,clay,1705.0,27.1,1,11197.4
yam,6.01,Benue,silty,2024.6,30.6,1,43689.6
rice,3.56,Benue,sandy,1531.1,28.4,1,10185.5
tomato,7.22,Benue,silty,200.0,29.4,0,55349.1
tomato,4.03,Lagos,clay,453.4,28.9,1,48349.4
pepper,6.6,Lagos,sandy,1688.4,28.7,0,38451.0
cassava,7.53,Kano,silty,1078.3,27.9,1,91817.5
cassava,0.75,Lagos,sandy,988.9,29.3,1,8027.2
tomato,8.6,Kano,clay,1141.0,24.9,1,104360.5
yam,4.85,Rivers,silty,1189.0,32.3,1,53342.4
pepper,2.64,Kaduna,silty,1511.2,29.2,1,22244.5
yam,1.16,Kaduna,sandy,809.4,24.3,0,7081.0
pepper,4.57,Lagos,loamy,1346.9,24.8,1,43840.8
cassava,1.1,Kano,clay,1240.7,23.6,1,14487.0
tomato,7.46,Oyo,silty,1087.5,30.5,1,113645.9
pepper,7.44,Kano,loamy,1517.7,23.2,0,44919.0
maize,9.5,Kaduna,loamy,2165.9,25.2,0,18677.0
pepper,5.83,Lagos,silty,1081.8,27.5,1,51323.8
pepper,8.55,Kano,loamy,1234.5,28.2,0,67841.2
tomato,4.89,Bauchi,clay,1447.7,33.2,0,55000.0
tomato,9.79,Oyo,clay,1222.8,20.6,1,127861.5
tomato,3.64,Plateau,silty,621.5,27.3,1,51456.1
tomato,7.63,Lagos,clay,574.7,24.3,0,71600.5
rice,5.62,Kaduna,clay,1319.5,24.7,1,23319.6
cassava,2.36,Kaduna,sandy,972.7,26.2,1,24007.3
yam,6.53,Benue,loamy,1506.2,26.4,1,86212.9
rice,2.08,Bauchi,clay,861.5,29.4,0,5136.9
pepper,1.84,Lagos,clay,818.0,28.3,1,12699.0
maize,8.13,Plateau,clay,1281.5,26.8,1,24710.6
yam,7.39,Kano,silty,855.2,28.1,1,74162.2
pepper,7.45,Rivers,silty,1423.5,27.8,1,72610.3
cassava,7.72,Lagos,clay,1310.7,29.2,0,84084.4
rice,3.68,Kano,silty,973.2,29.5,0,11415.7
yam,4.49,Kano,loamy,886.4,28.8,1,61135.0
maize,8.49,Oyo,sandy,550.8,27.1,0,13118.9
tomato,3.59,Bauchi,silty,1039.2,28.6,1,65854.6
rice,8.73,Benue,sandy,661.6,25.2,1,22593.4
yam,6.71,Plateau,silty,1340.3,28.5,1,70122.6
maize,8.81,Oyo,clay,1533.7,25.9,1,19642.4
pepper,8.71,Bauchi,sandy,1301.2,26.8,0,54470.0
pepper,9.22,Benue,sandy,1163.8,25.7,1,77117.3
tomato,7.14,Kaduna,silty,1215.5,27.5,1,143591.4
cassava,8.79,Plateau,silty,2093.8,28.1,0,83037.7
pepper,0.94,Lagos,silty,1532.0,25.3,0,7015.6
maize,0.96,Kaduna,silty,845.6,28.3,1,2728.2
maize,9.9,Benue,clay,1695.5,27.3,0,15986.5
pepper,8.63,Benue,loamy,1001.7,24.2,0,65014.9
yam,0.81,Oyo,loamy,751.8,26.7,0,7112.0
yam,6.5,Kaduna,loamy,1058.0,24.0,1,81852.9
rice,2.72,Kaduna,loamy,1116.9,21.8,1,9621.6
pepper,2.92,Lagos,loamy,580.5,25.2,0,18186.0
rice,4.96,Lagos,loamy,2118.6,25.5,1,13336.0
maize,5.41,Plateau,loamy,200.0,30.3,1,9222.7
pepper,4.27,Plateau,sandy,1531.7,25.3,0,24329.5
cassava,5.32,Lagos,clay,1732.2,32.7,1,46950.4
yam,9.33,Rivers,loamy,1792.2,24.9,1,84837.2
yam,3.44,Rivers,sandy,1534.2,27.4,1,29917.0
tomato,6.82,Lagos,clay,931.9,27.8,1,112070.7
rice,1.26,Benue,loamy,1245.6,27.5,1,6475.7
tomato,8.94,Rivers,sandy,743.7,27.0,0,88162.3
pepper,1.65,Kano,loamy,1073.1,27.2,0,12950.8
maize,7.1,Kaduna,clay,865.6,26.7,1,17315.3
maize,1.14,Rivers,sandy,606.0,26.1,0,1921.6
maize,3.41,Kano,sandy,1757.0,26.2,1,5718.2
tomato,4.02,Plateau,silty,922.7,28.7,1,48772.9
rice,4.59,Kaduna,loamy,1076.8,29.3,0,15690.3
rice,0.56,Benue,clay,1135.5,28.3,0,1907.7
yam,5.55,Bauchi,silty,1805.9,33.1,0,30440.5
tomato,0.87,Plateau,clay,1239.1,23.7,0,10326.5
cassava,1.9,Rivers,sandy,1218.4,26.8,1,22600.9
pepper,6.23,Kaduna,loamy,285.3,26.7,1,45416.9
pepper,5.64,Rivers,loamy,1893.0,33.7,1,34493.4
tomato,8.35,Rivers,clay,1691.1,27.1,1,105871.9
yam,9.68,Benue,silty,1584.6,21.5,0,82910.9
cassava,2.47,Rivers,loamy,832.2,24.3,0,28009.4
tomato,4.88,Benue,loamy,1233.9,26.7,1,120485.2
pepper,5.57,Kaduna,sandy,1824.8,27.9,0,27016.3
maize,6.97,Lagos,sandy,1207.5,29.0,0,13325.0
cowpea,4.07,Plateau,clay,1856.6,28.9,1,3764.3
cassava,9.23,Oyo,sandy,1414.6,27.9,1,128341.5
cowpea,5.95,Rivers,clay,732.6,26.4,1,6463.3
maize,6.58,Lagos,silty,887.1,23.8,0,13805.8
tomato,5.03,Rivers,sandy,855.1,29.9,0,52994.6
pepper,6.62,Kaduna,sandy,1685.7,24.4,1,41116.0
yam,7.53,Rivers,loamy,1057.4,29.4,1,97126.1
cowpea,8.9,Oyo,sandy,1111.0,24.4,1,10525.6
cowpea,1.13,Oyo,silty,749.0,27.3,1,1387.1
tomato,0.56,Oyo,clay,1356.2,29.4,0,6580.4
pepper,0.98,Kano,sandy,1451.3,22.2,0,4573.3
cowpea,4.31,Benue,sandy,1012.3,24.9,0,4063.2
maize,6.58,Rivers,loamy,1311.9,22.0,1,20668.7
pepper,2.28,Benue,clay,1145.3,30.3,1,21710.2
tomato,2.8,Kaduna,sandy,1527.3,28.4,1,39346.5
cowpea,1.64,Oyo,clay,921.8,31.7,0,1191.6
maize,3.52,Benue,loamy,1574.4,25.1,0,8150.0
pepper,9.01,Bauchi,sandy,370.6,25.7,1,46266.4
maize,8.51,Kaduna,silty,1259.8,27.8,1,27445.2
maize,4.08,Bauchi,silty,900.3,28.0,0,9496.1
maize,7.19,Kano,clay,1244.4,28.6,1,18307.0
maize,3.15,Oyo,loamy,1359.1,27.5,0,10390.0
yam,0.96,Rivers,sandy,1035.9,27.0,1,9887.2
cowpea,1.55,Bauchi,sandy,1085.4,28.0,1,2059.7
maize,6.74,Oyo,sandy,951.3,26.2,1,15816.8
yam,0.84,Lagos,silty,1255.3,26.0,1,9708.0
cassava,3.99,Lagos,loamy,1261.7,27.1,0,49114.6
yam,7.04,Rivers,loamy,1270.6,27.2,0,72807.9
rice,6.15,Bauchi,loamy,1678.1,28.6,1,23902.4
pepper,7.74,Benue,silty,853.7,24.8,0,51051.0
tomato,7.82,Plateau,loamy,1639.1,25.9,0,102642.5
yam,3.75,Benue,sandy,1451.5,23.3,1,37085.8
yam,9.75,Benue,clay,1514.5,29.0,1,101697.1
pepper,1.95,Bauchi,clay,1324.8,27.4,1,16433.3
rice,1.05,Kano,silty,1182.9,27.1,1,4783.1
rice,7.88,Lagos,clay,1507.3,31.3,1,23207.0
cassava,1.9,Rivers,silty,1545.9,23.1,1,25781.3
cassava,8.19,Benue,silty,1697.3,24.3,1,96039.6
tomato,1.9,Rivers,silty,1046.8,24.5,0,29913.7
tomato,3.37,Kano,clay,1382.2,26.6,1,59606.6
pepper,4.87,Kano,sandy,1273.9,25.3,0,30315.2
yam,5.07,Rivers,clay,864.5,28.2,1,36961.4
rice,9.63,Bauchi,silty,1439.3,22.2,1,34564.5
cassava,2.17,Plateau,sandy,1414.1,29.3,1,21509.3
tomato,9.69,Bauchi,loamy,1833.3,28.2,0,128452.2
pepper,6.59,Benue,loamy,1292.9,23.4,1,61762.7
tomato,7.95,Kaduna,silty,1199.7,31.1,0,104963.6
tomato,3.56,Kano,clay,1012.0,27.8,1,55429.9
yam,0.5,Kaduna,loamy,1005.4,27.0,1,6883.1
cowpea,4.03,Kaduna,silty,1299.0,27.5,1,4960.1
tomato,9.93,Rivers,silty,1603.0,21.5,1,152042.5
maize,2.32,Rivers,silty,1205.7,24.1,0,5401.3
yam,2.64,Kaduna,loamy,1124.2,28.5,1,39644.1
rice,7.71,Oyo,loamy,1511.7,26.1,1,32846.8
rice,8.32,Kaduna,clay,1568.7,22.7,0,20412.7
cassava,6.14,Plateau,silty,647.6,31.2,0,48324.6
cowpea,8.2,Bauchi,clay,1613.6,30.7,1,7596.5
tomato,8.34,Kano,loamy,958.2,26.9,0,124448.7
yam,7.77,Lagos,loamy,1466.5,29.1,0,55634.4
tomato,2.41,Benue,sandy,1188.8,26.3,1,40451.6
rice,7.55,Rivers,loamy,837.1,21.8,0,18731.4
maize,2.9,Oyo,sandy,1056.6,24.5,1,5515.9
pepper,4.24,Rivers,silty,1014.3,25.2,1,38274.7
tomato,0.7,Kano,clay,500.6,27.4,1,6666.4
rice,6.51,Oyo,loamy,1082.5,31.4,1,25965.7
cassava,4.01,Lagos,clay,1413.8,29.7,1,51518.6
cowpea,1.69,Rivers,sandy,1170.3,26.4,0,1617.7
maize,3.78,Plateau,silty,1623.3,29.8,1,9364.1
cassava,5.08,Kaduna,silty,1467.5,29.4,0,51665.5
cassava,8.47,Bauchi,sandy,592.9,25.9,1,77575.4
maize,5.64,Rivers,loamy,1727.9,26.5,0,10348.8
pepper,5.75,Kaduna,silty,1008.5,24.4,0,40568.5
yam,1.17,Plateau,silty,1523.9,27.1,0,11006.3
rice,2.28,Kaduna,sandy,709.2,25.7,1,6228.4
rice,4.34,Plateau,silty,1481.2,24.9,1,18117.9
cassava,6.94,Oyo,sandy,998.8,23.2,1,72226.7
cowpea,2.39,Oyo,silty,1542.1,25.8,0,2597.8
tomato,9.44,Lagos,loamy,1189.1,26.2,1,194410.7
rice,4.33,Rivers,sandy,824.3,25.1,0,11556.4
rice,1.2,Oyo,sandy,1882.3,27.4,1,3894.5
tomato,6.23,Benue,clay,1395.7,25.4,1,95158.9
rice,1.37,Kano,sandy,1749.8,29.9,1,3007.0
pepper,3.47,Kaduna,clay,2054.6,30.1,1,20115.1
tomato,4.77,Rivers,clay,622.2,31.3,0,36321.1
cowpea,2.9,Kaduna,clay,1816.3,26.7,1,3315.2
tomato,7.52,Plateau,silty,1190.0,33.3,1,115952.6
yam,9.19,Kaduna,clay,1070.9,25.7,1,80614.5
tomato,9.96,Kaduna,loamy,1986.1,28.6,1,150157.4
yam,8.84,Bauchi,silty,748.6,24.9,0,62053.9
cassava,4.86,Oyo,sandy,1846.0,30.0,0,34883.7
cassava,3.19,Bauchi,sandy,1388.8,28.0,0,22160.4
cassava,5.45,Oyo,sandy,1473.3,26.4,1,51152.7
rice,9.19,Rivers,loamy,1313.9,30.0,1,38708.7
pepper,4.56,Kaduna,sandy,1415.3,27.6,0,26709.6
cassava,6.19,Rivers,silty,1543.8,22.0,1,80020.6
rice,2.5,Lagos,clay,1494.9,26.5,0,8441.5
